"","program","programska_klasifikacija","funkcija","ekonomska_klasifikacija","budzet","sopstveni_izvori","ostali_izvori","grad"
"1","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-7700000,0,0,"Kragujevac"
"2","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-1350000,0,0,"Kragujevac"
"3","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-90000,0,0,"Kragujevac"
"4","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ",-1.3e+07,0,0,"Kragujevac"
"5","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","СТАЛНИ ТРОШКОВИ",-250000,0,0,"Kragujevac"
"6","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ТРОШКОВИ ПУТОВАЊА",-460000,0,0,"Kragujevac"
"7","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","УСЛУГЕ ПО УГОВОРУ",-63350000,0,0,"Kragujevac"
"8","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","МАТЕРИЈАЛ",-2e+05,0,0,"Kragujevac"
"9","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-69000,0,0,"Kragujevac"
"10","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","НАКНАДА ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА",-1100000,0,0,"Kragujevac"
"11","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ДОТАЦИЈЕ НЕВЛАДИНИМ ОРГАНИЗАЦИЈАМА",-4e+06,0,0,"Kragujevac"
"12","ПОЛИТИЧКИ СИСТЕМ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање скупштине","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ, КАЗНЕ, ПЕНАЛИ И КАМАТЕ",-5050000,0,0,"Kragujevac"
"13","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-26800000,0,0,"Kragujevac"
"14","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА",-4600000,0,0,"Kragujevac"
"15","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА",-1e+05,0,0,"Kragujevac"
"16","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","НАКНАДЕ ТРОШКОВА ЗА ЗАПОСЛЕНЕ",-450000,0,0,"Kragujevac"
"17","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ТРОШКОВИ ПУТОВАЊА",-915000,0,0,"Kragujevac"
"18","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","УСЛУГЕ ПО УГОВОРУ",-2e+05,0,0,"Kragujevac"
"19","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","МАТЕРИЈАЛ",-1e+05,0,0,"Kragujevac"
"20","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ",-262000,0,0,"Kragujevac"
"21","ОПШТЕ УСЛУГЕ ЛОКАЛНЕ САМОУПРАВЕ","Функционисање локалне самоуправе и градских општина","Извршни и законодавни органи, финансијски и фискални послови и спољни послови","ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ)",-11700000,0,0,"Kragujevac"
